TEMPERATURE DATA
Timestamp (s),Temperature (C),Temperature setpoint (C),Temperature error (C),Temperature PID output,Temperature Kp,Temperature Ki,Temperature Kd
18.218,26.296493242651934,95,68.70350675734807,100,1.55,0.02,0.05
18.503,27.050772383015556,95,68.32636718716626,100,1.55,0.02,0.05
18.691,26.04134458946396,95,68.53712992828952,100,1.55,0.02,0.05
18.845,26.549756535136453,95,68.51540831243302,100,1.55,0.02,0.05
19.007,25.260109170250416,95,68.76030481589633,100,1.55,0.02,0.05
19.187,27.050772383015556,95,68.62512528274435,100,1.55,0.02,0.05
19.353,26.80117106401309,95,68.56422580463615,100,1.55,0.02,0.05
19.518,27.050772383015556,95,68.48735103117968,100,1.55,0.02,0.05
19.670,26.80117106401309,95,68.45529302060271,100,1.55,0.02,0.05
19.824,27.298595042369698,95,68.37990421430547,100,1.55,0.02,0.05
19.992,28.74999671822485,95,68.13455386674818,100,1.55,0.02,0.05
20.168,27.298595042369698,95,68.10977160081276,100,1.55,0.02,0.05
20.343,16.226716619215267,95,69.09123439783764,100,1.55,0.02,0.05
20.499,19.223694184729766,95,69.8238406328783,100,1.55,0.02,0.05
20.668,25.784272893250545,95,69.77142426057829,100,1.55,0.02,0.05
20.851,26.549756535136453,95,69.8215258453662,100,1.55,0.02,0.05
21.014,27.298595042369698,95,69.77178344753054,100,1.55,0.02,0.05
21.179,26.296493242651934,95,69.8472113615669,100,1.55,0.02,0.05
21.377,28.512172092837318,95,69.67611125868447,100,1.55,0.02,0.05
21.549,27.544672626751435,95,69.6515035002463,100,1.55,0.02,0.05
21.711,26.296493242651934,95,69.8968538478036,100,1.55,0.02,0.05
21.916,28.031722296884254,95,69.82354112235214,100,1.55,0.02,0.05
22.077,16.91958633670731,95,69.75425415060293,100,1.55,0.02,0.05
22.257,28.031722296884254,95,68.87345133938749,100,1.55,0.02,0.05
22.415,25.52117616516705,95,68.89976101219584,100,1.55,0.02,0.05
22.574,28.74999671822485,95,68.67973699388699,100,1.55,0.02,0.05
22.735,29.22098792639025,95,68.48749770548494,100,1.55,0.02,0.05
22.943,22.52955492604781,95,68.86419153714536,100,1.55,0.02,0.05
23.135,29.68955917965161,95,68.74645282846393,100,1.55,0.02,0.05
23.330,30.60212921910528,95,68.44070716922855,100,1.55,0.02,0.05
23.492,28.98625941263151,95,68.17173055223058,100,1.55,0.02,0.05
23.683,30.826817085038556,95,67.89222107341516,100,1.55,0.02,0.05
23.852,31.05016922312251,95,66.47916278477364,100,1.55,0.02,0.05
24.032,41.42835136417068,95,65.13949987804499,100,1.55,0.02,0.05
24.209,35.069746040092525,95,64.18464289055244,100,1.55,0.02,0.05
24.382,32.1476490184852,95,63.84487766052641,100,1.55,0.02,0.05
24.580,35.069746040092525,95,63.26000184915618,100,1.55,0.02,0.05
24.807,33.21812680209638,95,62.19114466155132,100,1.55,0.02,0.05
24.983,33.0037088614738,95,61.859729693369104,100,1.55,0.02,0.05
25.190,40.72506281003132,95,60.8474363342765,100,1.55,0.02,0.05
25.393,34.25723151722326,95,60.32033912381733,100,1.55,0.02,0.05
25.608,34.66550220855976,95,59.936470611465204,100,1.55,0.02,0.05
25.824,35.470079494663366,95,59.49447958431112,100,1.55,0.02,0.05
26.019,35.66881492934027,95,60.07043322779416,100,1.55,0.02,0.05
,36.457568530618516,,,,,,


DIAMETER DATA
Timestamp (s),Diameter (mm),Diameter setpoint (mm),Fan duty cycle (%)
1742422522.498,0,0.35,30
1742422523.837,0,0.35,30
1742422524.355,0,0.35,30
1742422524.545,0,0.35,30
1742422524.734,0,0.35,30
1742422524.925,0,0.35,30
1742422525.115,0,0.35,30
1742422525.304,0,0.35,30
1742422525.497,0,0.35,30
1742422525.697,0,0.35,30
1742422525.897,0,0.35,30
1742422526.097,0,0.35,30
1742422526.296,0,0.35,30
1742422526.496,0,0.35,30
1742422526.696,0,0.35,30
1742422526.896,0,0.35,30
1742422527.097,0,0.35,30
1742422527.296,0,0.35,30
1742422527.497,0,0.35,30
1742422527.697,0,0.35,30
1742422527.897,0,0.35,30
1742422528.096,0,0.35,30
1742422528.297,0,0.35,30
1742422528.496,0,0.35,30
1742422528.696,0,0.35,30
1742422528.897,0,0.35,30
1742422529.097,0,0.35,30
1742422529.297,0,0.35,30
1742422529.497,0,0.35,30
1742422529.697,0,0.35,30
1742422529.897,0,0.35,30
1742422530.096,0,0.35,30
1742422530.297,0,0.35,30
1742422530.496,0,0.35,30
1742422530.696,0,0.35,30
1742422530.896,0,0.35,30
1742422531.096,0,0.35,30
1742422531.296,0,0.35,30
1742422531.496,0,0.35,30
1742422531.697,0,0.35,30
1742422531.897,0,0.35,30
1742422532.097,0,0.35,30
1742422532.296,0,0.35,30
1742422532.496,0,0.35,30
1742422532.696,0,0.35,30
1742422532.897,0,0.35,30
1742422533.097,0,0.35,30
1742422533.297,0,0.35,30
1742422533.497,0,0.35,30
1742422533.696,0,0.35,30
1742422533.897,0,0.35,30
1742422534.096,0,0.35,30
1742422534.296,0,0.35,30
1742422534.497,0,0.35,30
1742422534.696,0,0.35,30
1742422534.897,0,0.35,30
1742422535.097,0,0.35,30
1742422535.297,0,0.35,30
1742422535.496,0,0.35,30
1742422535.696,0,0.35,30
1742422535.896,0,0.35,30
1742422536.097,0,0.35,30
1742422536.297,0,0.35,30
1742422536.496,0,0.35,30
1742422536.696,0,0.35,30
1742422536.897,0,0.35,30
1742422537.097,0,0.35,30
1742422537.296,0,0.35,30
1742422537.497,0,0.35,30
1742422537.697,0,0.35,30
1742422537.896,0,0.35,30
1742422538.096,0,0.35,30
1742422538.297,0,0.35,30
1742422538.496,0,0.35,30
1742422538.696,0,0.35,30
1742422538.896,0,0.35,30
1742422539.114,0,0.35,30
1742422539.297,0,0.35,30
1742422539.496,0,0.35,30
1742422539.696,0,0.35,30
1742422539.896,0,0.35,30
1742422540.096,0,0.35,30
1742422540.349,0,0.35,30
1742422540.502,0,0.35,30
1742422540.696,0,0.35,30
1742422540.896,0,0.35,30
1742422541.098,0,0.35,30
1742422541.300,0,0.35,30
1742422541.496,0,0.35,30
1742422541.698,0,0.35,30
1742422541.897,0,0.35,30
1742422542.099,0,0.35,30
1742422542.298,0,0.35,30
1742422542.497,0,0.35,30
1742422542.711,0,0.35,30
1742422542.896,0,0.35,30
1742422543.096,0,0.35,30
1742422543.303,0,0.35,30
1742422543.497,0,0.35,30
1742422543.701,0,0.35,30
1742422543.897,0,0.35,30
1742422544.098,0,0.35,30
1742422544.296,0,0.35,30
1742422544.496,0,0.35,30
1742422544.701,0,0.35,30
1742422544.903,0,0.35,30
1742422545.105,0,0.35,30
1742422545.298,0,0.35,30
1742422545.498,0,0.35,30
1742422545.697,0,0.35,30
1742422545.897,0,0.35,30
1742422546.097,0,0.35,30
1742422546.299,0,0.35,30
1742422546.528,0,0.35,30
1742422546.699,0,0.35,30
1742422546.898,0,0.35,30
1742422547.097,0,0.35,30
1742422547.298,0,0.35,30
1742422547.497,0,0.35,30
1742422547.702,0,0.35,30
1742422547.897,0,0.35,30
1742422548.097,0,0.35,30
1742422548.297,0,0.35,30


MOTOR DATA
Timestamp (s),Extruder RPM,Spooler setpoint (RPM),Spooler RPM,Spooler Kp,Spooler Ki,Spooler Kd
